Major	Subtype
T.cells.Om_group_0.5.10	T.cell.Om.sub.g0,T.cell.Om.sub.g5,T.cell.Om.sub.g10
Myeloid.cells.Om_group_12.14	Myeloid.cell.Om.sub.g12,Myeloid.cell.Om.sub.g14
B.cells.Om_group_17	none
Endothelial.cells.Om_group_16	none
Fibroblasts.Om_group_1.11.13	none
Mesothelial.cells.Om_group_2.3.4.6.7.8.9.15	none
HGSOC_ovca_find.markers.14.group.0.2.3.5.6.7	none
